entry_key, query, target_pdb_id, target_chains, target_uniprot_ids, target_ligand, num_apo_sites, num_holo_sites, target_experimental_method, target_resolution, sasa, sasa_avg, view_url, download_url
1o2d-A-NAP-1800, 1o2d A NAP 1800, 1o2d, A, Q9X022, NAP, 0, 2, X-RAY_DIFFRACTION, 1.3, 987.64, 27.43, http://apoholo.cz/db/entry/1o2d-A-NAP-1800, http://apoholo.cz/api/db/entry/1o2d-A-NAP-1800/download/1o2d-A-NAP-1800.zip
1o2d-B-NAP-1801, 1o2d B NAP 1801, 1o2d, B, Q9X022, NAP, 0, 2, X-RAY_DIFFRACTION, 1.3, 963.41, 26.76, http://apoholo.cz/db/entry/1o2d-B-NAP-1801, http://apoholo.cz/api/db/entry/1o2d-B-NAP-1801/download/1o2d-B-NAP-1801.zip
1o3y-A-GTP-1001, 1o3y A GTP 1001, 1o3y, A, P84078, GTP, 0, 7, X-RAY_DIFFRACTION, 1.5, 889.81, 37.08, http://apoholo.cz/db/entry/1o3y-A-GTP-1001, http://apoholo.cz/api/db/entry/1o3y-A-GTP-1001/download/1o3y-A-GTP-1001.zip
1o3y-B-GTP-1001, 1o3y B GTP 1001, 1o3y, B, P84078, GTP, 0, 7, X-RAY_DIFFRACTION, 1.5, 881.4, 36.72, http://apoholo.cz/db/entry/1o3y-B-GTP-1001, http://apoholo.cz/api/db/entry/1o3y-B-GTP-1001/download/1o3y-B-GTP-1001.zip
1oaa-A-NAP-800, 1oaa A NAP 800, 1oaa, A, Q64105, NAP, 0, 2, X-RAY_DIFFRACTION, 1.25, 1037.57, 31.44, http://apoholo.cz/db/entry/1oaa-A-NAP-800, http://apoholo.cz/api/db/entry/1oaa-A-NAP-800/download/1oaa-A-NAP-800.zip
1oaf-A-HEM-1251, 1oaf A HEM 1251, 1oaf, A, Q43758, HEM, 0, 33, X-RAY_DIFFRACTION, 1.4, 859.14, 33.04, http://apoholo.cz/db/entry/1oaf-A-HEM-1251, http://apoholo.cz/api/db/entry/1oaf-A-HEM-1251/download/1oaf-A-HEM-1251.zip
1obd-A-AMP-315, 1obd A AMP 315, 1obd, A, P27616, AMP, 3, 2, X-RAY_DIFFRACTION, 1.4, 265.08, 33.13, http://apoholo.cz/db/entry/1obd-A-AMP-315, http://apoholo.cz/api/db/entry/1obd-A-AMP-315/download/1obd-A-AMP-315.zip
1obd-A-ATP-307, 1obd A ATP 307, 1obd, A, P27616, ATP, 0, 5, X-RAY_DIFFRACTION, 1.4, 664.75, 41.55, http://apoholo.cz/db/entry/1obd-A-ATP-307, http://apoholo.cz/api/db/entry/1obd-A-ATP-307/download/1obd-A-ATP-307.zip
1oc2-A-NAD-1350, 1oc2 A NAD 1350, 1oc2, A, Q8GIP9, NAD, 0, 4, X-RAY_DIFFRACTION, 1.5, 939.68, 26.1, http://apoholo.cz/db/entry/1oc2-A-NAD-1350, http://apoholo.cz/api/db/entry/1oc2-A-NAD-1350/download/1oc2-A-NAD-1350.zip
1oc2-B-NAD-1348, 1oc2 B NAD 1348, 1oc2, B, Q8GIP9, NAD, 0, 4, X-RAY_DIFFRACTION, 1.5, 861.35, 24.61, http://apoholo.cz/db/entry/1oc2-B-NAD-1348, http://apoholo.cz/api/db/entry/1oc2-B-NAD-1348/download/1oc2-B-NAD-1348.zip
1ofw-A-HEC-1294, 1ofw A HEC 1294, 1ofw, A, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1139.37, 59.97, http://apoholo.cz/db/entry/1ofw-A-HEC-1294, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1294/download/1ofw-A-HEC-1294.zip
1ofw-A-HEC-1295, 1ofw A HEC 1295, 1ofw, A, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1356.68, 56.53, http://apoholo.cz/db/entry/1ofw-A-HEC-1295, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1295/download/1ofw-A-HEC-1295.zip
1ofw-A-HEC-1296, 1ofw A HEC 1296, 1ofw, A, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1381.89, 55.28, http://apoholo.cz/db/entry/1ofw-A-HEC-1296, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1296/download/1ofw-A-HEC-1296.zip
1ofw-A-HEC-1297, 1ofw A HEC 1297, 1ofw, A, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1243.24, 42.87, http://apoholo.cz/db/entry/1ofw-A-HEC-1297, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1297/download/1ofw-A-HEC-1297.zip
1ofw-A-HEC-1298, 1ofw A HEC 1298, 1ofw, A B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1243.47, 47.83, http://apoholo.cz/db/entry/1ofw-A-HEC-1298, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1298/download/1ofw-A-HEC-1298.zip
1ofw-A-HEC-1299, 1ofw A HEC 1299, 1ofw, A B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1155.76, 48.16, http://apoholo.cz/db/entry/1ofw-A-HEC-1299, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1299/download/1ofw-A-HEC-1299.zip
1ofw-A-HEC-1300, 1ofw A HEC 1300, 1ofw, A, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1150.06, 57.5, http://apoholo.cz/db/entry/1ofw-A-HEC-1300, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1300/download/1ofw-A-HEC-1300.zip
1ofw-A-HEC-1301, 1ofw A HEC 1301, 1ofw, A, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1239.76, 51.66, http://apoholo.cz/db/entry/1ofw-A-HEC-1301, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1301/download/1ofw-A-HEC-1301.zip
1ofw-A-HEC-1302, 1ofw A HEC 1302, 1ofw, A, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1756.59, 73.19, http://apoholo.cz/db/entry/1ofw-A-HEC-1302, http://apoholo.cz/api/db/entry/1ofw-A-HEC-1302/download/1ofw-A-HEC-1302.zip
1ofw-B-HEC-1294, 1ofw B HEC 1294, 1ofw, B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1084.49, 60.25, http://apoholo.cz/db/entry/1ofw-B-HEC-1294, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1294/download/1ofw-B-HEC-1294.zip
1ofw-B-HEC-1295, 1ofw B HEC 1295, 1ofw, B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1248.4, 54.28, http://apoholo.cz/db/entry/1ofw-B-HEC-1295, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1295/download/1ofw-B-HEC-1295.zip
1ofw-B-HEC-1296, 1ofw B HEC 1296, 1ofw, B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1363.01, 54.52, http://apoholo.cz/db/entry/1ofw-B-HEC-1296, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1296/download/1ofw-B-HEC-1296.zip
1ofw-B-HEC-1297, 1ofw B HEC 1297, 1ofw, B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1253.23, 43.21, http://apoholo.cz/db/entry/1ofw-B-HEC-1297, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1297/download/1ofw-B-HEC-1297.zip
1ofw-B-HEC-1298, 1ofw B HEC 1298, 1ofw, A B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1249.78, 46.29, http://apoholo.cz/db/entry/1ofw-B-HEC-1298, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1298/download/1ofw-B-HEC-1298.zip
1ofw-B-HEC-1299, 1ofw B HEC 1299, 1ofw, A B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1107.67, 48.16, http://apoholo.cz/db/entry/1ofw-B-HEC-1299, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1299/download/1ofw-B-HEC-1299.zip
1ofw-B-HEC-1300, 1ofw B HEC 1300, 1ofw, B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1173.61, 58.68, http://apoholo.cz/db/entry/1ofw-B-HEC-1300, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1300/download/1ofw-B-HEC-1300.zip
1ofw-B-HEC-1301, 1ofw B HEC 1301, 1ofw, B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1239.58, 51.65, http://apoholo.cz/db/entry/1ofw-B-HEC-1301, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1301/download/1ofw-B-HEC-1301.zip
1ofw-B-HEC-1302, 1ofw B HEC 1302, 1ofw, B, Q9RN68, HEC, 0, 4, X-RAY_DIFFRACTION, 1.5, 1672.47, 69.69, http://apoholo.cz/db/entry/1ofw-B-HEC-1302, http://apoholo.cz/api/db/entry/1ofw-B-HEC-1302/download/1ofw-B-HEC-1302.zip
1orr-A-NAD-1200, 1orr A NAD 1200, 1orr, A, P14169, NAD, 0, 0, X-RAY_DIFFRACTION, 1.5, 700.38, 21.89, http://apoholo.cz/db/entry/1orr-A-NAD-1200, http://apoholo.cz/api/db/entry/1orr-A-NAD-1200/download/1orr-A-NAD-1200.zip
1orr-B-NAD-1300, 1orr B NAD 1300, 1orr, B, P14169, NAD, 0, 0, X-RAY_DIFFRACTION, 1.5, 741.32, 22.46, http://apoholo.cz/db/entry/1orr-B-NAD-1300, http://apoholo.cz/api/db/entry/1orr-B-NAD-1300/download/1orr-B-NAD-1300.zip
1orr-C-NAD-1400, 1orr C NAD 1400, 1orr, C, P14169, NAD, 0, 0, X-RAY_DIFFRACTION, 1.5, 728.6, 22.08, http://apoholo.cz/db/entry/1orr-C-NAD-1400, http://apoholo.cz/api/db/entry/1orr-C-NAD-1400/download/1orr-C-NAD-1400.zip
1orr-D-NAD-1500, 1orr D NAD 1500, 1orr, D, P14169, NAD, 0, 0, X-RAY_DIFFRACTION, 1.5, 737.38, 21.69, http://apoholo.cz/db/entry/1orr-D-NAD-1500, http://apoholo.cz/api/db/entry/1orr-D-NAD-1500/download/1orr-D-NAD-1500.zip
1os6-A-HEC-72, 1os6 A HEC 72, 1os6, A, Q8GGK7, HEC, 0, 13, X-RAY_DIFFRACTION, 1.45, 1224.58, 94.2, http://apoholo.cz/db/entry/1os6-A-HEC-72, http://apoholo.cz/api/db/entry/1os6-A-HEC-72/download/1os6-A-HEC-72.zip
1os6-A-HEC-73, 1os6 A HEC 73, 1os6, A, Q8GGK7, HEC, 0, 13, X-RAY_DIFFRACTION, 1.45, 1515.76, 72.18, http://apoholo.cz/db/entry/1os6-A-HEC-73, http://apoholo.cz/api/db/entry/1os6-A-HEC-73/download/1os6-A-HEC-73.zip
1os6-A-HEC-74, 1os6 A HEC 74, 1os6, A, Q8GGK7, HEC, 0, 13, X-RAY_DIFFRACTION, 1.45, 1505.04, 75.25, http://apoholo.cz/db/entry/1os6-A-HEC-74, http://apoholo.cz/api/db/entry/1os6-A-HEC-74/download/1os6-A-HEC-74.zip
1pa2-A-HEM-306, 1pa2 A HEM 306, 1pa2, A, Q42578, HEM, 0, 1, X-RAY_DIFFRACTION, 1.45, 832.63, 28.71, http://apoholo.cz/db/entry/1pa2-A-HEM-306, http://apoholo.cz/api/db/entry/1pa2-A-HEM-306/download/1pa2-A-HEM-306.zip
1pee-A-HEM-201, 1pee A HEM 201, 1pee, A, Q26241, HEM, 0, 13, X-RAY_DIFFRACTION, 1.5, 641.89, 33.78, http://apoholo.cz/db/entry/1pee-A-HEM-201, http://apoholo.cz/api/db/entry/1pee-A-HEM-201/download/1pee-A-HEM-201.zip
1pm1-X-HEM-180, 1pm1 X HEM 180, 1pm1, X, Q26241, HEM, 0, 13, X-RAY_DIFFRACTION, 1.1, 645.94, 32.3, http://apoholo.cz/db/entry/1pm1-X-HEM-180, http://apoholo.cz/api/db/entry/1pm1-X-HEM-180/download/1pm1-X-HEM-180.zip
1pwl-A-NAP-318, 1pwl A NAP 318, 1pwl, A, P15121, NAP, 1, 177, X-RAY_DIFFRACTION, 1.1, 933.78, 27.46, http://apoholo.cz/db/entry/1pwl-A-NAP-318, http://apoholo.cz/api/db/entry/1pwl-A-NAP-318/download/1pwl-A-NAP-318.zip
1pwm-A-NAP-1318, 1pwm A NAP 1318, 1pwm, A, P15121, NAP, 1, 177, X-RAY_DIFFRACTION, 0.92, 925.29, 25.7, http://apoholo.cz/db/entry/1pwm-A-NAP-1318, http://apoholo.cz/api/db/entry/1pwm-A-NAP-1318/download/1pwm-A-NAP-1318.zip
1q1f-A-HEM-200, 1q1f A HEM 200, 1q1f, A, Q9ER97, HEM, 0, 40, X-RAY_DIFFRACTION, 1.5, 905.56, 41.16, http://apoholo.cz/db/entry/1q1f-A-HEM-200, http://apoholo.cz/api/db/entry/1q1f-A-HEM-200/download/1q1f-A-HEM-200.zip
1q5m-A-NDP-1003, 1q5m A NDP 1003, 1q5m, A, P80508, NDP, 0, 2, X-RAY_DIFFRACTION, 1.32, 817.64, 28.19, http://apoholo.cz/db/entry/1q5m-A-NDP-1003, http://apoholo.cz/api/db/entry/1q5m-A-NDP-1003/download/1q5m-A-NDP-1003.zip
1q5m-B-NDP-1004, 1q5m B NDP 1004, 1q5m, B, P80508, NDP, 0, 2, X-RAY_DIFFRACTION, 1.32, 845.77, 29.16, http://apoholo.cz/db/entry/1q5m-B-NDP-1004, http://apoholo.cz/api/db/entry/1q5m-B-NDP-1004/download/1q5m-B-NDP-1004.zip
1qks-A-HEC-601, 1qks A HEC 601, 1qks, A, P72181, HEC, 0, 22, X-RAY_DIFFRACTION, 1.28, 899.25, 40.88, http://apoholo.cz/db/entry/1qks-A-HEC-601, http://apoholo.cz/api/db/entry/1qks-A-HEC-601/download/1qks-A-HEC-601.zip
1qks-B-HEC-601, 1qks B HEC 601, 1qks, B, P72181, HEC, 0, 22, X-RAY_DIFFRACTION, 1.28, 931.44, 42.34, http://apoholo.cz/db/entry/1qks-B-HEC-601, http://apoholo.cz/api/db/entry/1qks-B-HEC-601/download/1qks-B-HEC-601.zip
1ql3-A-HEC-101, 1ql3 A HEC 101, 1ql3, A B, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.4, 1102.24, 34.44, http://apoholo.cz/db/entry/1ql3-A-HEC-101, http://apoholo.cz/api/db/entry/1ql3-A-HEC-101/download/1ql3-A-HEC-101.zip
1ql3-B-HEC-101, 1ql3 B HEC 101, 1ql3, B, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.4, 1011.03, 34.86, http://apoholo.cz/db/entry/1ql3-B-HEC-101, http://apoholo.cz/api/db/entry/1ql3-B-HEC-101/download/1ql3-B-HEC-101.zip
1ql3-C-HEC-101, 1ql3 C HEC 101, 1ql3, C, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.4, 983.95, 33.93, http://apoholo.cz/db/entry/1ql3-C-HEC-101, http://apoholo.cz/api/db/entry/1ql3-C-HEC-101/download/1ql3-C-HEC-101.zip
1ql3-D-HEC-101, 1ql3 D HEC 101, 1ql3, D, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.4, 1114.44, 35.95, http://apoholo.cz/db/entry/1ql3-D-HEC-101, http://apoholo.cz/api/db/entry/1ql3-D-HEC-101/download/1ql3-D-HEC-101.zip
1ql4-A-HEC-101, 1ql4 A HEC 101, 1ql4, A B, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.5, 1120.76, 33.96, http://apoholo.cz/db/entry/1ql4-A-HEC-101, http://apoholo.cz/api/db/entry/1ql4-A-HEC-101/download/1ql4-A-HEC-101.zip
1ql4-B-HEC-101, 1ql4 B HEC 101, 1ql4, B, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.5, 1006.29, 34.7, http://apoholo.cz/db/entry/1ql4-B-HEC-101, http://apoholo.cz/api/db/entry/1ql4-B-HEC-101/download/1ql4-B-HEC-101.zip
1ql4-C-HEC-101, 1ql4 C HEC 101, 1ql4, C D, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.5, 864.16, 26.19, http://apoholo.cz/db/entry/1ql4-C-HEC-101, http://apoholo.cz/api/db/entry/1ql4-C-HEC-101/download/1ql4-C-HEC-101.zip
1ql4-D-HEC-101, 1ql4 D HEC 101, 1ql4, D, P54820, HEC, 0, 8, X-RAY_DIFFRACTION, 1.5, 1049.35, 34.98, http://apoholo.cz/db/entry/1ql4-D-HEC-101, http://apoholo.cz/api/db/entry/1ql4-D-HEC-101/download/1ql4-D-HEC-101.zip
1qz5-A-ATP-380, 1qz5 A ATP 380, 1qz5, A, P68135, ATP, 10, 496, X-RAY_DIFFRACTION, 1.45, 797.77, 36.26, http://apoholo.cz/db/entry/1qz5-A-ATP-380, http://apoholo.cz/api/db/entry/1qz5-A-ATP-380/download/1qz5-A-ATP-380.zip
1r66-A-NAD-900, 1r66 A NAD 900, 1r66, A, Q9ZGH3, NAD, 0, 1, X-RAY_DIFFRACTION, 1.44, 789.29, 23.92, http://apoholo.cz/db/entry/1r66-A-NAD-900, http://apoholo.cz/api/db/entry/1r66-A-NAD-900/download/1r66-A-NAD-900.zip
1r6d-A-NAD-400, 1r6d A NAD 400, 1r6d, A, Q9ZGH3, NAD, 0, 1, X-RAY_DIFFRACTION, 1.35, 967.93, 26.89, http://apoholo.cz/db/entry/1r6d-A-NAD-400, http://apoholo.cz/api/db/entry/1r6d-A-NAD-400/download/1r6d-A-NAD-400.zip
1r8s-A-GDP-401, 1r8s A GDP 401, 1r8s, A E, P84080 Q99418, GDP, 0, 7, X-RAY_DIFFRACTION, 1.46, 703.11, 43.94, http://apoholo.cz/db/entry/1r8s-A-GDP-401, http://apoholo.cz/api/db/entry/1r8s-A-GDP-401/download/1r8s-A-GDP-401.zip
1rdq-E-ADP-599, 1rdq E ADP 599, 1rdq, E, P05132, ADP, 20, 67, X-RAY_DIFFRACTION, 1.26, 556.18, 25.28, http://apoholo.cz/db/entry/1rdq-E-ADP-599, http://apoholo.cz/api/db/entry/1rdq-E-ADP-599/download/1rdq-E-ADP-599.zip
1rdq-E-ATP-600, 1rdq E ATP 600, 1rdq, E, P05132, ATP, 20, 67, X-RAY_DIFFRACTION, 1.26, 582.3, 24.26, http://apoholo.cz/db/entry/1rdq-E-ATP-600, http://apoholo.cz/api/db/entry/1rdq-E-ATP-600/download/1rdq-E-ATP-600.zip
1re9-A-HEM-501, 1re9 A HEM 501, 1re9, A, P00183, HEM, 0, 167, X-RAY_DIFFRACTION, 1.45, 751.85, 24.25, http://apoholo.cz/db/entry/1re9-A-HEM-501, http://apoholo.cz/api/db/entry/1re9-A-HEM-501/download/1re9-A-HEM-501.zip
1rl9-A-ADP-900, 1rl9 A ADP 900, 1rl9, A, P51541, ADP, 0, 13, X-RAY_DIFFRACTION, 1.45, 560.98, 28.05, http://apoholo.cz/db/entry/1rl9-A-ADP-900, http://apoholo.cz/api/db/entry/1rl9-A-ADP-900/download/1rl9-A-ADP-900.zip
1rya-A-GDP-770, 1rya A GDP 770, 1rya, A, P32056, GDP, 4, 3, X-RAY_DIFFRACTION, 1.3, 996.61, 62.29, http://apoholo.cz/db/entry/1rya-A-GDP-770, http://apoholo.cz/api/db/entry/1rya-A-GDP-770/download/1rya-A-GDP-770.zip
1rya-B-GDP-771, 1rya B GDP 771, 1rya, B, P32056, GDP, 4, 3, X-RAY_DIFFRACTION, 1.3, 999.95, 62.5, http://apoholo.cz/db/entry/1rya-B-GDP-771, http://apoholo.cz/api/db/entry/1rya-B-GDP-771/download/1rya-B-GDP-771.zip
1s1f-A-HEM-430, 1s1f A HEM 430, 1s1f, A, Q9FCA6, HEM, 0, 9, X-RAY_DIFFRACTION, 1.5, 841.6, 28.05, http://apoholo.cz/db/entry/1s1f-A-HEM-430, http://apoholo.cz/api/db/entry/1s1f-A-HEM-430/download/1s1f-A-HEM-430.zip
1s1p-A-NAP-1001, 1s1p A NAP 1001, 1s1p, A, P42330, NAP, 0, 89, X-RAY_DIFFRACTION, 1.2, 841.19, 29.01, http://apoholo.cz/db/entry/1s1p-A-NAP-1001, http://apoholo.cz/api/db/entry/1s1p-A-NAP-1001/download/1s1p-A-NAP-1001.zip
1s67-L-HEM-1135, 1s67 L HEM 1135, 1s67, L, P76129, HEM, 0, 8, X-RAY_DIFFRACTION, 1.5, 792.93, 36.04, http://apoholo.cz/db/entry/1s67-L-HEM-1135, http://apoholo.cz/api/db/entry/1s67-L-HEM-1135/download/1s67-L-HEM-1135.zip
1s67-U-HEM-2135, 1s67 U HEM 2135, 1s67, U, P76129, HEM, 0, 8, X-RAY_DIFFRACTION, 1.5, 1049.8, 41.99, http://apoholo.cz/db/entry/1s67-U-HEM-2135, http://apoholo.cz/api/db/entry/1s67-U-HEM-2135/download/1s67-U-HEM-2135.zip
1sby-A-NAD-1255, 1sby A NAD 1255, 1sby, A, P10807, NAD, 3, 14, X-RAY_DIFFRACTION, 1.1, 977.15, 27.92, http://apoholo.cz/db/entry/1sby-A-NAD-1255, http://apoholo.cz/api/db/entry/1sby-A-NAD-1255/download/1sby-A-NAD-1255.zip
1sby-B-NAD-2255, 1sby B NAD 2255, 1sby, B, P10807, NAD, 3, 14, X-RAY_DIFFRACTION, 1.1, 1104.95, 32.5, http://apoholo.cz/db/entry/1sby-B-NAD-2255, http://apoholo.cz/api/db/entry/1sby-B-NAD-2255/download/1sby-B-NAD-2255.zip
1sg0-A-FAD-434, 1sg0 A FAD 434, 1sg0, A B, P16083, FAD, 0, 137, X-RAY_DIFFRACTION, 1.5, 1087.32, 41.82, http://apoholo.cz/db/entry/1sg0-A-FAD-434, http://apoholo.cz/api/db/entry/1sg0-A-FAD-434/download/1sg0-A-FAD-434.zip
1sg0-B-FAD-433, 1sg0 B FAD 433, 1sg0, A B, P16083, FAD, 0, 137, X-RAY_DIFFRACTION, 1.5, 1107.62, 42.6, http://apoholo.cz/db/entry/1sg0-B-FAD-433, http://apoholo.cz/api/db/entry/1sg0-B-FAD-433/download/1sg0-B-FAD-433.zip
1si6-X-HEM-300, 1si6 X HEM 300, 1si6, X, O76745, HEM, 0, 8, X-RAY_DIFFRACTION, 1.45, 1383.04, 53.19, http://apoholo.cz/db/entry/1si6-X-HEM-300, http://apoholo.cz/api/db/entry/1si6-X-HEM-300/download/1si6-X-HEM-300.zip
1sxu-A-HEM-185, 1sxu A HEM 185, 1sxu, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.4, 774.14, 36.86, http://apoholo.cz/db/entry/1sxu-A-HEM-185, http://apoholo.cz/api/db/entry/1sxu-A-HEM-185/download/1sxu-A-HEM-185.zip
1sxw-A-HEM-185, 1sxw A HEM 185, 1sxw, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.05, 881.43, 35.26, http://apoholo.cz/db/entry/1sxw-A-HEM-185, http://apoholo.cz/api/db/entry/1sxw-A-HEM-185/download/1sxw-A-HEM-185.zip
1sxx-A-HEM-185, 1sxx A HEM 185, 1sxx, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.01, 720.79, 34.32, http://apoholo.cz/db/entry/1sxx-A-HEM-185, http://apoholo.cz/api/db/entry/1sxx-A-HEM-185/download/1sxx-A-HEM-185.zip
1sxy-A-HEM-185, 1sxy A HEM 185, 1sxy, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.07, 764.42, 36.4, http://apoholo.cz/db/entry/1sxy-A-HEM-185, http://apoholo.cz/api/db/entry/1sxy-A-HEM-185/download/1sxy-A-HEM-185.zip
1sy0-A-HEM-185, 1sy0 A HEM 185, 1sy0, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.15, 877.32, 38.14, http://apoholo.cz/db/entry/1sy0-A-HEM-185, http://apoholo.cz/api/db/entry/1sy0-A-HEM-185/download/1sy0-A-HEM-185.zip
1sy1-A-HEM-185, 1sy1 A HEM 185, 1sy1, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.01, 785.85, 35.72, http://apoholo.cz/db/entry/1sy1-A-HEM-185, http://apoholo.cz/api/db/entry/1sy1-A-HEM-185/download/1sy1-A-HEM-185.zip
1sy2-A-HEM-185, 1sy2 A HEM 185, 1sy2, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.0, 804.62, 33.53, http://apoholo.cz/db/entry/1sy2-A-HEM-185, http://apoholo.cz/api/db/entry/1sy2-A-HEM-185/download/1sy2-A-HEM-185.zip
1sy3-A-HEM-185, 1sy3 A HEM 185, 1sy3, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.0, 792.24, 33.01, http://apoholo.cz/db/entry/1sy3-A-HEM-185, http://apoholo.cz/api/db/entry/1sy3-A-HEM-185/download/1sy3-A-HEM-185.zip
1t2d-A-NAD-323, 1t2d A NAD 323, 1t2d, A, Q27743, NAD, 1, 14, X-RAY_DIFFRACTION, 1.1, 1125.23, 32.15, http://apoholo.cz/db/entry/1t2d-A-NAD-323, http://apoholo.cz/api/db/entry/1t2d-A-NAD-323/download/1t2d-A-NAD-323.zip
1t41-A-NAP-318, 1t41 A NAP 318, 1t41, A, P15121, NAP, 1, 177, X-RAY_DIFFRACTION, 1.05, 934.34, 29.2, http://apoholo.cz/db/entry/1t41-A-NAP-318, http://apoholo.cz/api/db/entry/1t41-A-NAP-318/download/1t41-A-NAP-318.zip
1t68-X-HEM-201, 1t68 X HEM 201, 1t68, X, Q26241, HEM, 0, 13, X-RAY_DIFFRACTION, 1.45, 656.76, 31.27, http://apoholo.cz/db/entry/1t68-X-HEM-201, http://apoholo.cz/api/db/entry/1t68-X-HEM-201/download/1t68-X-HEM-201.zip
1thb-A-HEM-142, 1thb A HEM 142, 1thb, A, P69905, HEM, 0, 650, X-RAY_DIFFRACTION, 1.5, 849.98, 38.64, http://apoholo.cz/db/entry/1thb-A-HEM-142, http://apoholo.cz/api/db/entry/1thb-A-HEM-142/download/1thb-A-HEM-142.zip
1thb-B-HEM-147, 1thb B HEM 147, 1thb, B, P68871, HEM, 2, 650, X-RAY_DIFFRACTION, 1.5, 765.32, 38.27, http://apoholo.cz/db/entry/1thb-B-HEM-147, http://apoholo.cz/api/db/entry/1thb-B-HEM-147/download/1thb-B-HEM-147.zip
1thb-C-HEM-142, 1thb C HEM 142, 1thb, C, P69905, HEM, 0, 650, X-RAY_DIFFRACTION, 1.5, 838.16, 39.91, http://apoholo.cz/db/entry/1thb-C-HEM-142, http://apoholo.cz/api/db/entry/1thb-C-HEM-142/download/1thb-C-HEM-142.zip
1thb-D-HEM-147, 1thb D HEM 147, 1thb, D, P68871, HEM, 2, 650, X-RAY_DIFFRACTION, 1.5, 756.37, 36.02, http://apoholo.cz/db/entry/1thb-D-HEM-147, http://apoholo.cz/api/db/entry/1thb-D-HEM-147/download/1thb-D-HEM-147.zip
1tu9-A-HEM-301, 1tu9 A HEM 301, 1tu9, A, Q9HX49, HEM, 0, 0, X-RAY_DIFFRACTION, 1.2, 914.92, 43.57, http://apoholo.cz/db/entry/1tu9-A-HEM-301, http://apoholo.cz/api/db/entry/1tu9-A-HEM-301/download/1tu9-A-HEM-301.zip
1u0x-A-HEM-185, 1u0x A HEM 185, 1u0x, A, Q94734, HEM, 1, 48, X-RAY_DIFFRACTION, 1.45, 803.16, 34.92, http://apoholo.cz/db/entry/1u0x-A-HEM-185, http://apoholo.cz/api/db/entry/1u0x-A-HEM-185/download/1u0x-A-HEM-185.zip
